name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
David Cooke,POWER FORWARD,22,SACRAMENTO KINGS,6,0,38,2,11,0,0,5,10,5,5,1,4,0,2,5,9
Michael Cooper,SHOOTING GUARD,29,LOS ANGELES LAKERS,82,15,2269,274,606,63,163,147,170,44,200,466,89,43,151,238,758
Wayne Cooper,CENTER,29,DENVER NUGGETS,78,78,2112,422,906,3,7,174,219,190,420,81,42,227,117,315,1021
Tyrone Corbin,SMALL FORWARD,23,SAN ANTONIO SPURS,16,0,174,27,64,0,1,10,14,11,14,11,11,2,12,21,64
Dave Corzine,CENTER,29,CHICAGO BULLS,67,4,1709,255,519,3,12,127,171,132,301,150,28,53,104,133,640
Ron Crevier,CENTER,27,GOLDEN STATE WARRIORS,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ron Crevier,CENTER,27,DETROIT PISTONS,2,0,3,0,2,0,0,0,2,1,0,0,0,0,0,2,0
Jeff Cross,POWER FORWARD,24,LOS ANGELES CLIPPERS,21,0,128,6,24,0,0,14,25,9,21,1,2,3,6,38,26
Pat Cummings,CENTER,29,NEW YORK KNICKS,31,30,1007,195,408,0,2,97,139,92,188,47,27,12,87,136,487
Terry Cummings,POWER FORWARD,24,MILWAUKEE BUCKS,82,82,2669,681,1438,0,2,265,404,222,472,193,121,51,191,283,1627
Earl Cureton,POWER FORWARD,28,DETROIT PISTONS,80,19,2017,285,564,0,2,117,211,198,306,137,58,58,150,239,687
Quintin Dailey,SHOOTING GUARD,25,CHICAGO BULLS,35,0,723,203,470,0,8,163,198,20,48,67,22,5,67,86,569
Adrian Dantley,SMALL FORWARD,30,UTAH JAZZ,76,75,2744,818,1453,1,11,630,796,178,217,264,64,4,231,206,2267
Brad Davis,POINT GUARD,30,DALLAS MAVERICKS,82,43,1971,267,502,32,89,198,228,26,120,467,57,15,110,174,764
Charles Davis,SMALL FORWARD,27,MILWAUKEE BUCKS,57,7,873,188,397,3,24,61,75,60,110,55,26,7,50,113,440
Johnny Davis,SHOOTING GUARD,30,CLEVELAND CAVALIERS,39,0,612,102,237,2,11,67,79,6,30,105,24,4,40,44,273
Johnny Davis,SHOOTING GUARD,30,ATLANTA HAWKS,27,7,402,46,107,1,2,51,59,2,17,112,13,0,38,32,144
Walter Davis,SHOOTING GUARD,31,PHOENIX SUNS,70,62,2239,624,1287,18,76,257,305,54,149,361,99,3,219,153,1523
Darryl Dawkins,CENTER,29,NEW JERSEY NETS,51,3,1207,284,441,0,1,210,297,85,166,77,16,59,124,227,778
Darren Daye,SMALL FORWARD,25,WASHINGTON BULLETS,64,4,1075,198,399,1,3,159,237,71,112,109,46,11,98,121,556
James Donaldson,CENTER,28,LOS ANGELES CLIPPERS,14,14,441,43,84,0,0,57,70,28,103,12,5,29,38,33,143
James Donaldson,CENTER,28,DALLAS MAVERICKS,69,64,2241,213,375,0,0,147,184,143,521,84,23,110,85,156,573
Larry Drew,POINT GUARD,27,SACRAMENTO KINGS,75,31,1971,376,776,10,31,128,161,25,100,338,66,2,133,134,890
Clyde Drexler,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,75,58,2576,542,1142,12,60,293,381,171,250,600,197,46,282,270,1389
Joe Dumars,SHOOTING GUARD,22,DETROIT PISTONS,82,45,1957,287,597,5,16,190,238,60,59,390,66,11,158,200,769
T.R. Dunn,SHOOTING GUARD,30,DENVER NUGGETS,82,82,2401,172,379,0,1,68,88,143,234,171,155,16,51,228,412
Devin Durrant,SMALL FORWARD,25,PHOENIX SUNS,4,0,51,8,21,0,0,1,4,2,6,5,3,0,4,10,17
Mark Eaton,CENTER,29,UTAH JAZZ,80,80,2551,277,589,0,0,122,202,172,503,101,33,369,157,282,676
Franklin Edwards,POINT GUARD,26,LOS ANGELES CLIPPERS,73,19,1491,262,577,1,9,132,151,24,62,259,89,4,137,87,657
James Edwards,CENTER,30,PHOENIX SUNS,52,51,1314,318,587,0,0,212,302,79,222,74,23,29,128,200,848
Craig Ehlo,SHOOTING GUARD,24,HOUSTON ROCKETS,36,0,199,36,84,3,9,23,29,17,29,29,11,4,15,22,98
Dale Ellis,SMALL FORWARD,25,DALLAS MAVERICKS,72,1,1086,193,470,63,173,59,82,86,82,37,40,9,38,78,508
Alex English,SMALL FORWARD,32,DENVER NUGGETS,81,81,3024,951,1888,1,5,511,593,192,213,320,73,29,249,235,2414
Julius Erving,SHOOTING GUARD,35,PHILADELPHIA 76ERS,74,74,2474,521,1085,9,32,289,368,169,201,248,113,82,214,196,1340
Mike Evans,POINT GUARD,30,DENVER NUGGETS,81,1,1389,304,715,39,176,126,149,30,71,177,61,1,124,159,773
Patrick Ewing,CENTER,23,NEW YORK KNICKS,50,50,1771,386,814,0,5,226,306,124,327,102,54,103,172,191,998
Kenny Fields,SMALL FORWARD,23,MILWAUKEE BUCKS,78,3,1120,204,398,0,4,91,132,59,144,79,51,15,77,170,499
Vern Fleming,POINT GUARD,23,INDIANA PACERS,80,77,2870,436,862,1,6,263,353,102,284,505,131,5,208,230,1136
Sleepy Floyd,POINT GUARD,25,GOLDEN STATE WARRIORS,82,82,2764,510,1007,39,119,351,441,76,221,746,157,16,290,199,1410
Rod Foster,POINT GUARD,25,PHOENIX SUNS,48,0,704,85,218,9,32,23,32,9,49,121,22,1,61,77,202
World B. Free,SHOOTING GUARD,32,CLEVELAND CAVALIERS,75,75,2535,652,1433,71,169,379,486,72,146,314,91,19,172,186,1754
Bill Garnett,POWER FORWARD,25,INDIANA PACERS,80,2,1197,112,239,0,2,116,162,106,169,95,39,22,91,174,340
George Gervin,SHOOTING GUARD,33,CHICAGO BULLS,82,75,2065,519,1100,4,19,283,322,78,137,144,49,23,161,210,1325
Mike Gibson,POWER FORWARD,25,DETROIT PISTONS,32,0,161,20,51,0,0,8,11,15,25,5,8,4,6,35,48
Artis Gilmore,CENTER,36,SAN ANTONIO SPURS,71,71,2395,423,684,0,1,338,482,166,434,102,39,108,186,239,1184
Mike Glenn,SHOOTING GUARD,30,MILWAUKEE BUCKS,38,1,573,94,190,0,0,47,49,4,53,39,9,3,18,42,235
Georgi Glouchkov,POWER FORWARD,26,PHOENIX SUNS,49,16,772,84,209,1,1,70,122,31,132,32,26,25,76,124,239
Mike Gminski,CENTER,26,NEW JERSEY NETS,81,78,2525,491,949,0,1,351,393,206,462,133,56,71,140,163,1333
Lancaster Gordon,SHOOTING GUARD,23,LOS ANGELES CLIPPERS,60,1,704,130,345,7,28,45,56,24,44,60,33,10,62,91,312
Stuart Gray,CENTER,22,INDIANA PACERS,67,3,423,54,108,0,0,47,74,45,73,15,8,11,32,94,155
A.C. Green,POWER FORWARD,22,LOS ANGELES LAKERS,82,1,1542,209,388,1,6,102,167,160,221,54,49,49,99,229,521
Ken Green,POWER FORWARD,26,NEW YORK KNICKS,7,0,72,13,27,0,0,5,9,12,15,2,4,0,1,8,31
Kenny Green,SMALL FORWARD,21,WASHINGTON BULLETS,20,0,221,44,101,0,1,21,26,17,21,3,4,7,17,26,109
Kenny Green,SMALL FORWARD,21,PHILADELPHIA 76ERS,21,0,232,39,91,0,0,14,23,10,25,6,1,2,18,27,92
Rickey Green,POINT GUARD,31,UTAH JAZZ,80,44,2012,357,758,5,29,213,250,32,103,411,106,6,132,130,932
Sidney Green,POWER FORWARD,25,CHICAGO BULLS,80,68,2307,407,875,0,8,262,335,208,450,139,70,37,220,292,1076
Dave Greenwood,POWER FORWARD,28,SAN ANTONIO SPURS,68,24,1910,198,388,0,1,142,184,151,380,90,37,52,113,207,538
Claude Gregory,POWER FORWARD,27,WASHINGTON BULLETS,2,0,2,1,2,0,0,0,0,2,0,0,1,0,2,1,2
Ernie Grunfeld,SMALL FORWARD,30,NEW YORK KNICKS,76,0,1402,148,355,26,61,90,108,42,164,119,39,13,50,192,412
Pétur Guðmundsson,CENTER,27,LOS ANGELES LAKERS,8,2,128,20,37,0,0,18,27,17,21,3,3,4,11,25,58
Bob Hansen,SHOOTING GUARD,25,UTAH JAZZ,82,82,2032,299,628,17,50,95,132,82,162,193,74,9,126,205,710
Bill Hanzlik,SMALL FORWARD,28,DENVER NUGGETS,79,0,1982,331,741,8,41,318,405,88,176,316,107,16,165,277,988
Derek Harper,POINT GUARD,24,DALLAS MAVERICKS,79,39,2150,390,730,12,51,171,229,75,151,416,153,23,144,166,963
Steve Harris,SHOOTING GUARD,22,HOUSTON ROCKETS,57,0,482,103,233,1,5,50,54,25,32,50,21,4,34,55,257
Scott Hastings,POWER FORWARD,25,ATLANTA HAWKS,62,0,650,65,159,3,4,60,70,44,80,26,14,8,40,118,193
Steve Hayes,CENTER,30,UTAH JAZZ,58,0,397,39,87,0,0,11,36,32,45,7,5,19,16,81,89
Gerald Henderson,POINT GUARD,30,SEATTLE SUPERSONICS,82,82,2568,434,900,18,52,185,223,89,98,487,138,11,184,230,1071
Jerome Henderson,CENTER,26,LOS ANGELES LAKERS,1,0,3,2,3,0,0,0,0,0,1,0,0,0,0,1,4
Carl Henry,SHOOTING GUARD,25,SACRAMENTO KINGS,28,0,149,31,67,4,10,12,17,8,11,4,5,0,9,11,78
Rod Higgins,SMALL FORWARD,26,SEATTLE SUPERSONICS,12,0,94,9,27,1,4,3,5,3,9,6,2,1,4,11,22
Rod Higgins,SMALL FORWARD,26,SAN ANTONIO SPURS,11,0,128,18,40,0,2,11,16,5,19,12,2,3,5,21,47
Rod Higgins,SMALL FORWARD,26,NEW JERSEY NETS,2,0,29,3,16,0,2,0,0,3,5,1,1,4,2,6,6
Rod Higgins,SMALL FORWARD,26,CHICAGO BULLS,5,0,81,9,23,0,1,5,6,3,4,5,4,3,2,11,23
Roy Hinson,SMALL FORWARD,24,CLEVELAND CAVALIERS,82,82,2834,621,1167,0,4,364,506,167,472,102,62,112,188,316,1606
Craig Hodges,SHOOTING GUARD,25,MILWAUKEE BUCKS,66,66,1739,284,568,73,162,75,86,39,78,229,74,2,89,157,716
Michael Holton,SHOOTING GUARD,24,PHOENIX SUNS,4,0,65,4,20,0,2,4,6,1,2,7,2,0,4,7,12
Michael Holton,POINT GUARD,24,CHICAGO BULLS,24,0,447,73,155,1,10,24,38,10,20,48,23,0,23,40,171
Phil Hubbard,SMALL FORWARD,29,CLEVELAND CAVALIERS,23,21,640,93,198,0,1,76,112,48,72,29,20,3,66,78,262
Alfredrick Hughes,SHOOTING GUARD,23,SAN ANTONIO SPURS,68,0,866,152,372,3,17,49,84,49,64,61,26,5,63,79,356
Jay Humphries,POINT GUARD,23,PHOENIX SUNS,82,82,2733,352,735,4,29,197,257,56,204,526,132,9,190,222,905
Geoff Huston,POINT GUARD,28,GOLDEN STATE WARRIORS,82,0,1208,140,273,2,6,63,92,10,55,342,38,4,83,67,345
Marc Iavaroni,POWER FORWARD,29,SAN ANTONIO SPURS,42,7,669,74,163,0,2,43,67,42,90,53,22,14,51,109,191
Marc Iavaroni,POWER FORWARD,29,UTAH JAZZ,26,2,345,36,81,0,0,33,48,21,56,29,10,3,21,54,105
Clemon Johnson,CENTER,29,PHILADELPHIA 76ERS,75,2,1069,105,223,0,0,51,81,106,149,15,23,62,38,129,261
Dennis Johnson,POINT GUARD,31,BOSTON CELTICS,78,78,2732,482,1060,6,42,243,297,69,199,456,110,35,173,206,1213
Eddie Johnson,SMALL FORWARD,26,SACRAMENTO KINGS,82,30,2514,623,1311,4,20,280,343,173,246,214,54,17,191,237,1530
Eddie Johnson,SHOOTING GUARD,30,ATLANTA HAWKS,39,5,862,155,328,5,20,79,110,17,58,219,10,1,90,72,394
Eddie Johnson,SHOOTING GUARD,30,CLEVELAND CAVALIERS,32,4,615,129,293,24,65,33,45,13,33,114,8,1,60,56,315
Frank Johnson,POINT GUARD,27,WASHINGTON BULLETS,14,9,402,69,154,0,3,38,54,7,21,76,11,1,29,30,176
George Johnson,CENTER,37,SEATTLE SUPERSONICS,41,0,264,12,23,0,0,11,16,26,34,13,6,37,14,46,35
George Johnson,POWER FORWARD,29,WASHINGTON BULLETS,2,0,7,1,3,0,0,2,2,1,1,0,0,0,1,1,4
Ken Johnson,POWER FORWARD,23,PORTLAND TRAIL BLAZERS,64,0,815,113,214,0,0,37,85,90,153,19,13,22,59,147,263
Magic Johnson,POINT GUARD,26,LOS ANGELES LAKERS,72,70,2578,483,918,10,43,378,434,85,341,907,113,16,273,133,1354
Marques Johnson,SHOOTING GUARD,29,LOS ANGELES CLIPPERS,75,75,2605,613,1201,1,15,298,392,156,260,283,107,50,183,214,1525
Mickey Johnson,POWER FORWARD,33,NEW JERSEY NETS,79,4,1574,214,507,5,24,183,233,98,234,217,67,25,165,248,616
Steve Johnson,CENTER,28,SAN ANTONIO SPURS,71,55,1828,362,573,0,0,259,373,143,319,95,44,66,191,291,983
Vinnie Johnson,SHOOTING GUARD,29,DETROIT PISTONS,79,12,1978,465,996,2,13,165,214,119,107,269,80,23,88,180,1097
Bobby Jones,POWER FORWARD,34,PHILADELPHIA 76ERS,70,42,1519,189,338,0,1,114,145,49,120,126,48,50,90,159,492
Caldwell Jones,CENTER,35,PORTLAND TRAIL BLAZERS,80,19,1437,126,254,0,7,124,150,105,250,74,38,61,102,244,376
Charles Jones,CENTER,28,WASHINGTON BULLETS,81,58,1609,129,254,0,1,54,86,122,199,76,57,133,71,235,312
Charles Jones,POWER FORWARD,24,PHOENIX SUNS,43,18,742,75,164,0,1,50,98,65,128,52,32,25,57,87,200
Earl Jones,CENTER,25,MILWAUKEE BUCKS,12,0,43,5,12,0,0,3,4,4,6,4,0,1,7,13,13
Edgar Jones,POWER FORWARD,29,CLEVELAND CAVALIERS,53,6,1011,187,370,7,23,132,178,71,136,45,30,38,64,142,513
Ozell Jones,CENTER,25,LOS ANGELES CLIPPERS,3,0,18,0,2,0,0,0,0,0,2,0,2,1,3,5,0
Michael Jordan,SHOOTING GUARD,22,CHICAGO BULLS,18,7,451,150,328,3,18,105,125,23,41,53,37,21,45,46,408
Yvon Joseph,CENTER,28,NEW JERSEY NETS,1,0,5,0,0,0,0,2,2,0,0,0,0,0,0,1,2
Harold Keeling,SHOOTING GUARD,22,DALLAS MAVERICKS,20,0,75,17,39,0,0,10,14,3,3,10,7,0,7,9,44
Rich Kelley,CENTER,32,SACRAMENTO KINGS,37,0,324,28,49,0,2,18,22,29,52,43,10,3,22,62,74
Clark Kellogg,POWER FORWARD,24,INDIANA PACERS,19,12,568,139,294,4,13,53,69,51,117,57,28,8,61,59,335
Jerome Kersey,SMALL FORWARD,23,PORTLAND TRAIL BLAZERS,79,2,1217,258,470,0,6,156,229,137,156,83,85,32,113,208,672
Albert King,SMALL FORWARD,26,NEW JERSEY NETS,73,69,1998,438,961,4,23,167,203,116,250,181,58,24,181,205,1047
Greg Kite,CENTER,24,BOSTON CELTICS,64,2,464,34,91,0,1,15,39,35,93,17,3,28,32,81,83
Joe Kleine,CENTER,24,SACRAMENTO KINGS,80,18,1180,160,344,0,0,94,130,113,260,46,24,34,107,224,414
Jon Koncak,CENTER,22,ATLANTA HAWKS,82,15,1695,263,519,0,1,156,257,171,296,55,37,69,111,296,682
Mitch Kupchak,POWER FORWARD,31,LOS ANGELES LAKERS,55,0,783,124,257,0,1,84,112,69,122,17,12,7,64,102,332
Bill Laimbeer,CENTER,28,DETROIT PISTONS,82,82,2891,545,1107,4,14,266,319,305,770,146,59,65,133,291,1360
Jeff Lamp,SMALL FORWARD,26,MILWAUKEE BUCKS,44,1,701,109,243,3,13,55,64,34,87,64,20,3,30,88,276
Jeff Lamp,SMALL FORWARD,26,SAN ANTONIO SPURS,30,1,620,136,271,4,17,56,69,19,60,53,19,1,38,67,332
Allen Leavell,POINT GUARD,28,HOUSTON ROCKETS,74,12,1190,212,458,24,67,135,158,6,61,234,58,8,88,126,583
Keith Lee,POWER FORWARD,23,CLEVELAND CAVALIERS,58,38,1197,177,380,2,9,75,96,116,235,67,29,37,78,204,431
Ronnie Lester,POINT GUARD,27,LOS ANGELES LAKERS,27,0,222,26,52,0,3,15,19,0,10,54,9,3,42,27,67
Fat Lever,POINT GUARD,25,DENVER NUGGETS,78,77,2616,468,1061,12,38,132,182,136,284,584,178,15,210,204,1080
Cliff Levingston,POWER FORWARD,25,ATLANTA HAWKS,81,35,1945,294,551,0,1,164,242,193,341,72,76,39,113,260,752
Alton Lister,CENTER,27,MILWAUKEE BUCKS,81,19,1812,318,577,0,2,160,266,199,393,101,49,142,161,300,796
Lewis Lloyd,SHOOTING GUARD,26,HOUSTON ROCKETS,82,82,2444,592,1119,3,15,199,236,155,169,300,102,24,194,216,1386
John Long,SHOOTING GUARD,29,DETROIT PISTONS,62,30,1176,264,548,3,16,89,104,47,51,82,41,13,59,92,620
John Lucas,POINT GUARD,32,HOUSTON ROCKETS,65,65,2120,365,818,45,146,231,298,33,110,571,77,5,149,124,1006
Maurice Lucas,POWER FORWARD,33,LOS ANGELES LAKERS,77,8,1750,302,653,1,2,180,230,164,402,84,45,24,121,253,785
Kyle Macy,POINT GUARD,28,CHICAGO BULLS,82,79,2426,286,592,58,141,73,90,41,137,446,81,11,117,201,703
Rick Mahorn,POWER FORWARD,27,DETROIT PISTONS,80,12,1442,157,345,0,1,81,119,121,291,64,40,61,109,261,395
Jeff Malone,SHOOTING GUARD,24,WASHINGTON BULLETS,80,80,2992,735,1522,3,17,322,371,66,222,191,70,12,168,180,1795
Karl Malone,POWER FORWARD,22,UTAH JAZZ,81,76,2475,504,1016,0,2,195,405,174,544,236,105,44,279,295,1203
Moses Malone,CENTER,30,PHILADELPHIA 76ERS,74,74,2706,571,1246,0,1,617,784,339,533,90,67,71,261,194,1759
Pace Mannion,SMALL FORWARD,25,UTAH JAZZ,57,0,673,97,214,8,42,53,82,26,56,55,32,5,41,68,255
Bill Martin,SMALL FORWARD,23,INDIANA PACERS,66,0,691,143,298,0,8,46,54,42,60,52,21,7,58,108,332
Brian Martin,POWER FORWARD,23,SEATTLE SUPERSONICS,3,0,7,1,2,0,0,0,0,1,3,0,0,1,2,2,2
Brian Martin,SMALL FORWARD,23,PORTLAND TRAIL BLAZERS,5,0,14,2,5,0,0,0,2,0,0,0,0,0,0,5,4
Wes Matthews,POINT GUARD,26,SAN ANTONIO SPURS,75,46,1853,320,603,4,25,173,211,30,101,476,87,32,232,168,817
Cedric Maxwell,SMALL FORWARD,30,LOS ANGELES CLIPPERS,76,72,2458,314,661,0,3,447,562,241,383,215,61,29,206,252,1075
Bob McAdoo,CENTER,34,PHILADELPHIA 76ERS,29,0,609,116,251,0,0,62,81,25,78,35,10,18,49,64,294
Dwayne McClain,SMALL FORWARD,22,INDIANA PACERS,45,4,461,69,180,1,9,18,35,14,16,67,38,4,40,61,157
Tim McCormick,CENTER,23,SEATTLE SUPERSONICS,77,42,1705,253,444,1,2,174,244,140,263,83,19,28,110,219,681
Rodney McCray,SMALL FORWARD,24,HOUSTON ROCKETS,82,82,2610,338,629,0,3,171,222,159,361,292,50,58,130,197,847
Xavier McDaniel,SMALL FORWARD,22,SEATTLE SUPERSONICS,82,80,2706,576,1176,2,10,250,364,307,348,193,101,37,248,305,1404
Ben McDonald,SMALL FORWARD,23,CLEVELAND CAVALIERS,21,0,266,28,58,0,1,5,8,15,23,9,7,1,10,30,61
Hank McDowell,POWER FORWARD,26,HOUSTON ROCKETS,22,0,204,24,42,0,1,17,25,12,37,6,1,3,10,25,65
Mike McGee,SMALL FORWARD,26,LOS ANGELES LAKERS,71,19,1213,252,544,41,114,42,64,51,89,83,53,7,70,131,587
Kevin McHale,POWER FORWARD,28,BOSTON CELTICS,68,62,2397,561,978,0,0,326,420,171,380,181,29,134,149,192,1448
Kevin McKenna,SHOOTING GUARD,27,WASHINGTON BULLETS,30,1,430,61,166,27,75,25,30,9,27,23,29,2,18,54,174
Billy McKinney,POINT GUARD,30,CHICAGO BULLS,9,0,83,10,23,0,0,2,2,1,4,13,3,0,2,9,22
Tom McMillen,CENTER,33,WASHINGTON BULLETS,56,1,863,131,285,0,3,64,79,44,69,35,9,10,34,85,326
